exp_index,subject,condition,scenario,box_weight,contestant,strength,effort,resp,s1,s2,e1,e2
2a,21,fail,7,7,1,4,60,5,4,6,60,60
2a,21,fail,7,7,2,6,60,5,4,6,60,60
2a,21,fail,8,6,1,2,50,3,2,8,50,50
2a,21,fail,8,6,2,8,50,7,2,8,50,50
2a,21,fail,9,9,1,5,70,5,5,7,70,70
2a,21,fail,9,9,2,7,70,5,5,7,70,70
2a,21,fail,10,8,1,6,30,5,6,8,30,30
2a,21,fail,10,8,2,8,30,5,6,8,30,30
2a,21,fail,11,3,1,2,60,3,2,6,60,20
2a,21,fail,11,3,2,6,20,7,2,6,60,20
2a,21,fail,12,5,1,3,80,3,3,6,80,40
2a,21,fail,12,5,2,6,40,7,3,6,80,40
2a,21,fail,13,5,1,4,30,3,4,6,30,20
2a,21,fail,13,5,2,6,20,7,4,6,30,20
2a,21,fail,14,9,1,5,80,3,5,8,80,50
2a,21,fail,14,9,2,8,50,7,5,8,80,50
2a,21,fail,15,8,1,6,40,5,6,8,40,30
2a,21,fail,15,8,2,8,30,5,6,8,40,30
2a,21,lift,16,4,1,5,20,2,5,5,20,60
2a,21,lift,16,4,2,5,60,8,5,5,20,60
2a,21,lift,17,5,1,6,30,2,6,6,30,80
2a,21,lift,17,5,2,6,80,8,6,6,30,80
2a,21,lift,18,3,1,4,30,3,4,4,30,60
2a,21,lift,18,3,2,4,60,7,4,4,30,60
2a,21,lift,19,4,1,5,20,2,5,5,20,70
2a,21,lift,19,4,2,5,70,8,5,5,20,70
2a,21,lift,20,4,1,8,20,2,8,8,20,40
2a,21,lift,20,4,2,8,40,8,8,8,20,40
2a,21,lift,21,4,1,4,40,4,4,8,40,40
2a,21,lift,21,4,2,8,40,6,4,8,40,40
2a,21,lift,22,5,1,4,60,5,4,6,60,60
2a,21,lift,22,5,2,6,60,5,4,6,60,60
2a,21,lift,23,5,1,2,50,5,2,8,50,50
2a,21,lift,23,5,2,8,50,5,2,8,50,50
2a,21,lift,24,6,1,5,70,4,5,7,70,70
2a,21,lift,24,6,2,7,70,6,5,7,70,70
2a,21,lift,25,3,1,6,30,5,6,8,30,30
2a,21,lift,25,3,2,8,30,5,6,8,30,30
2a,21,lift,26,2,1,2,60,6,2,6,60,20
2a,21,lift,26,2,2,6,20,4,2,6,60,20
